Input masked function,Exact Match?,Expected if condition,Predicted if condition,CodeBLEU score,BLEU-4 score
"def on_show_comment(self, widget, another): <TAB> if widget.get_active(): <MASK> self.treeview.update_items(all=True, comment=True) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> self.treeview.update_items(comment=True) <TAB> else: <TAB>  <TAB> if another.get_active(): <TAB>  <TAB>  <TAB> self.treeview.update_items(all=True) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> self.treeview.update_items(),if another . get_active ( ) :,121",TRUE,"if', ' another', ' .', ' get', '_', 'active', ' (', ' )', ' :',","if', ' another', ' .', ' get', '_', 'active', ' (', ' )', ' :',",0,0
"def test_select_figure_formats_set(): <TAB> ip = get_ipython() <TAB> for fmts in [ <TAB>  <TAB> {""png"", ""svg""}, <TAB>  <TAB> [""png""], <TAB>  <TAB> (""jpeg"", ""pdf"", ""retina""), <TAB>  <TAB> {""svg""}, <TAB> ]: <TAB>  <TAB> active_mimes = {_fmt_mime_map[fmt] for fmt in fmts} <TAB>  <TAB> pt.select_figure_formats(ip, fmts) <TAB>  <TAB> for mime, f in ip.display_formatter.formatters.items(): <MASK> nt.assert_in(Figure, f) <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> nt.assert_not_in(Figure, f),if mime in active_mimes :,170",TRUE,"if', ' mime', ' in', ' active', '_', 'm', 'imes', ' :',","if', ' mime', ' in', ' active', '_', 'm', 'imes', ' :',",0,0
"def update_from_data(self, data): <TAB> super(HelpParameter, self).update_from_data(data) <TAB> # original help.py value_sources are strings, update command strings to value-source dict <TAB> if self.value_sources: <TAB>  <TAB> self.value_sources = [ <TAB>  <TAB>  <TAB> str_or_dict <MASK> else {""link"": {""command"": str_or_dict}} <TAB>  <TAB>  <TAB> for str_or_dict in self.value_sources <TAB>  <TAB> ],""if isinstance ( str_or_dict , dict )"",130",FALSE,"if', ' isinstance', ' (', ' str', '_', 'or', '_', 'dict', ' ,', ' dict', ' )',","if', ' isinstance', ' (', ' str', '_', 'or', '_', 'dict', ' ,', ' list', ' )',",0,0
"def _reset_library_root_logger() -> None: <TAB> global _default_handler <TAB> with _lock: <MASK> return <TAB>  <TAB> library_root_logger = _get_library_root_logger() <TAB>  <TAB> library_root_logger.removeHandler(_default_handler) <TAB>  <TAB> library_root_logger.setLevel(logging.NOTSET) <TAB>  <TAB> _default_handler = None,if not _default_handler :,99",FALSE,"if', ' not', ' _', 'default', '_', 'handler', ' :',","if', ' _', ' _', 'default', '_', 'handler', ' :',",0,0
"def extract_headers(headers): <TAB> """"""This function extracts valid headers from interactive input."""""" <TAB> sorted_headers = {} <TAB> matches = re.findall(r""(.*):\s(.*)"", headers) <TAB> for match in matches: <TAB>  <TAB> header = match[0] <TAB>  <TAB> value = match[1] <TAB>  <TAB> try: <MASK> value = value[:-1] <TAB>  <TAB>  <TAB> sorted_headers[header] = value <TAB>  <TAB> except IndexError: <TAB>  <TAB>  <TAB> pass <TAB> return sorted_headers,""if value [ - 1 ] == """","""" :"",125",FALSE,"if', ' value', ' [', ' -', ' 1', ' ]', ' ==', ' "",""', ' :',","if', ' len', ' .', ' :', ' 1', ' ]', ' ==', ' ""-""', ' :',",0,0
"def _call_user_data_handler(self, operation, src, dst): <TAB> if hasattr(self, ""_user_data""): <TAB>  <TAB> for key, (data, handler) in self._user_data.items(): <MASK> handler.handle(operation, key, data, src, dst),if handler is not None :,80",FALSE,"if', ' handler', ' is', ' not', ' None', ' :',","if', ' hasattr', ' :', ' not', ' None', ' :',",0,0
"def update(self, other=None, **kwargs): <TAB> if other is not None: <MASK> other = other.items() <TAB>  <TAB> for key, value in other: <TAB>  <TAB>  <TAB> if key in kwargs: <TAB>  <TAB>  <TAB>  <TAB> raise TensorforceError.value( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> name=""NestedDict.update"", <TAB>  <TAB>  <TAB>  <TAB>  <TAB> argument=""key"", <TAB>  <TAB>  <TAB>  <TAB>  <TAB> value=key, <TAB>  <TAB>  <TAB>  <TAB>  <TAB> condition=""specified twice"", <TAB>  <TAB>  <TAB>  <TAB> ) <TAB>  <TAB>  <TAB> self[key] = value <TAB> for key, value in kwargs.items(): <TAB>  <TAB> self[key] = value,""if hasattr ( other , """"items"""" ) :"",153",FALSE,"if', ' hasattr', ' (', ' other', ' ,', ' ""', 'items', '""', ' )', ' :',","if', ' isinstance', ' (', ' other', ' ,', ' ""__', 'items', '""', ' )', ' :',",0,0
"def _restore_context(context): <TAB> # Check for changes in contextvars, and set them to the current <TAB> # context for downstream consumers <TAB> for cvar in context: <TAB>  <TAB> try: <MASK> cvar.set(context.get(cvar)) <TAB>  <TAB> except LookupError: <TAB>  <TAB>  <TAB> cvar.set(context.get(cvar)),if cvar . get ( ) != context . get ( cvar ) :,103",FALSE,"if', ' c', 'var', ' .', ' get', ' (', ' )', ' !=', ' context', ' .', ' get', ' (', ' c', 'var', ' )', ' :', 'if', ' type', ' (', ' k', ' )', ' ==', ' str', ' :',","if', ' c', 'var', ' .', ' get', ' (', ' ""', ' is', ' c', ' :', ' get', ' (', ' c', 'var', ' )', ' :',",0,0
"def read_file_or_url(self, fname): <TAB> # TODO: not working on localhost <TAB> if isinstance(fname, file): <TAB>  <TAB> result = open(fname, ""r"") <TAB> else: <TAB>  <TAB> match = self.urlre.match(fname) <MASK> result = urllib.urlopen(match.group(1)) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> fname = os.path.expanduser(fname) <TAB>  <TAB>  <TAB> try: <TAB>  <TAB>  <TAB>  <TAB> result = open(os.path.expanduser(fname), ""r"") <TAB>  <TAB>  <TAB> except IOError: <TAB>  <TAB>  <TAB>  <TAB> result = open( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ""%s.%s"" % (os.path.expanduser(fname), self.defaultExtension), ""r"" <TAB>  <TAB>  <TAB>  <TAB> ) <TAB> return result,if match :,184",TRUE,"if', ' match', ' :',","if', ' match', ' :',",0,0
"def subclass_managers(self, recursive): <TAB> for cls in self.class_.__subclasses__(): <TAB>  <TAB> mgr = manager_of_class(cls) <MASK> yield mgr <TAB>  <TAB>  <TAB> if recursive: <TAB>  <TAB>  <TAB>  <TAB> for m in mgr.subclass_managers(True): <TAB>  <TAB>  <TAB>  <TAB>  <TAB> yield m,if mgr is not None and mgr is not self :,89",FALSE,"if', ' mgr', ' is', ' not', ' None', ' and', ' mgr', ' is', ' not', ' self', ' :',","if', ' recursive', ' .', ' not', ' None', ' :', ' not', ' .', ' not', ' None', ' .',",0,0
"def star_path(path): <TAB> """"""Replace integers and integer-strings in a path with *"""""" <TAB> path = list(path) <TAB> for i, p in enumerate(path): <TAB>  <TAB> if isinstance(p, int): <TAB>  <TAB>  <TAB> path[i] = ""*"" <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> if not isinstance(p, text_type): <TAB>  <TAB>  <TAB>  <TAB> p = p.decode() <MASK> path[i] = ""*"" <TAB> return join_path(path),if r_is_int . match ( p ) :,127",FALSE,"if', ' r', '_', 'is', '_', 'int', ' .', ' match', ' (', ' p', ' )', ' :',","if', ' p', '""', 'is', '_', 'integer', ' (', ' search', ' (', ' p', ' )', ' :',",0,0
"def cookie_decode(data, key): <TAB> """"""Verify and decode an encoded string. Return an object or None"""""" <TAB> if isinstance(data, unicode): <TAB>  <TAB> data = data.encode(""ascii"")  # 2to3 hack <TAB> if cookie_is_encoded(data): <TAB>  <TAB> sig, msg = data.split(u""?"".encode(""ascii""), 1)  # 2to3 hack <MASK> return pickle.loads(base64.b64decode(msg)) <TAB> return None,""if sig [ 1 : ] == base64 . b64encode ( hmac . new ( key , msg ) . digest ( ) ) :"",137",FALSE,"if', ' sig', ' [', ' 1', ' :', ' ]', ' ==', ' base', '64', ' .', ' b', '64', 'encode', ' (', ' hmac', ' .', ' new', ' (', ' key', ' ,', ' msg', ' )', ' .', ' digest', ' (', ' )', ' )', ' :',","if', ' sig', ' ==', ' 0', ' ]', ' ]', ' ==', ' ""', '64', ' .', ' b', '64', 'decode', ' (', ' msg', ' .', ' sha', ' (', ' msg', ' )', ' sig', ' )', ' )', ' hexdigest', ' (', ' )', ' )', ' :',",0,0
"def parse_row(cls, doc_row): <TAB> row = {} <TAB> for field_name, field in FIELD_MAP.items(): <TAB>  <TAB> if len(doc_row) > field[1]: <TAB>  <TAB>  <TAB> field_value = doc_row[field[1]] <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> field_value = """" <MASK> field_value = field[2](field_value) <TAB>  <TAB> row[field_name] = field_value <TAB> return row,if len ( field ) >= 3 and callable ( field [ 2 ] ) :,127",FALSE,"if', ' len', ' (', ' field', ' )', ' >=', ' 3', ' and', ' callable', ' (', ' field', ' [', ' 2', ' ]', ' )', ' :',","if', ' len', ' (', ' field', ' )', ' >', ' 2', ' :', ' field', ' (', ' field', ' [', ' 2', ' ]', ' )', ' :',",0,0
"def semantic_masks(self): <TAB> for sid in self._seg_ids: <TAB>  <TAB> sinfo = self._sinfo.get(sid) <MASK> # Some pixels (e.g. id 0 in PanopticFPN) have no instance or semantic predictions. <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> yield (self._seg == sid).numpy().astype(np.bool), sinfo,""if sinfo is None or sinfo [ """"isthing"""" ] :"",104",FALSE,"if', ' s', 'info', ' is', ' None', ' or', ' s', 'info', ' [', ' ""', 'ist', 'hing', '""', ' ]', ' :',","if', ' s', 'info', ' is', ' None', ' :', ' s', 'info', ' is', ' 0', 'instance', 'an', '""', ' ]', ' is', 'if', ' self', ' (', ' self', ' .', ' subjects', '_', 'accept', 'able', ' )', ' ==', ' 0', ' :',",0,0
"def resolve(obj): <TAB> if isinstance(obj, list): <TAB>  <TAB> for item in obj: <TAB>  <TAB>  <TAB> resolve(item) <TAB>  <TAB> return <TAB> if isinstance(obj, dict): <MASK> with resolver.resolving(obj[u""$ref""]) as resolved: <TAB>  <TAB>  <TAB>  <TAB> resolve(resolved) <TAB>  <TAB>  <TAB>  <TAB> obj.clear() <TAB>  <TAB>  <TAB>  <TAB> obj.update(resolved) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> for value in obj.values(): <TAB>  <TAB>  <TAB>  <TAB> resolve(value),""if """"$ref"""" in obj :"",127",FALSE,"if', ' ""$', 'ref', '""', ' in', ' obj', ' :',","if', ' u', 'ref', '""', ' in', ' obj', ' :',",0,0
"def read_ansible_config(project_path, variables_of_interest): <TAB> fnames = [""/etc/ansible/ansible.cfg""] <TAB> if project_path: <TAB>  <TAB> fnames.append(os.path.join(project_path, ""ansible.cfg"")) <TAB> values = {} <TAB> try: <TAB>  <TAB> parser = ConfigParser() <TAB>  <TAB> parser.read(fnames) <TAB>  <TAB> if ""defaults"" in parser: <TAB>  <TAB>  <TAB> for var in variables_of_interest: <MASK> values[var] = parser[""defaults""][var] <TAB> except Exception: <TAB>  <TAB> logger.exception(""Failed to read ansible configuration(s) {}"".format(fnames)) <TAB> return values,""if var in parser [ """"defaults"""" ] :"",166",TRUE,"if', ' var', ' in', ' parser', ' [', ' ""', 'defaults', '""', ' ]', ' :',","if', ' var', ' in', ' parser', ' [', ' ""', 'defaults', '""', ' ]', ' :',",0,0
"def test_globalphase(): <TAB> rule_set = DecompositionRuleSet(modules=[globalphase, r2rzandph]) <TAB> dummy = DummyEngine(save_commands=True) <TAB> eng = MainEngine( <TAB>  <TAB> dummy, <TAB>  <TAB> [AutoReplacer(rule_set), InstructionFilter(low_level_gates_noglobalphase)], <TAB> ) <TAB> qubit = eng.allocate_qubit() <TAB> R(1.2) | qubit <TAB> rz_count = 0 <TAB> for cmd in dummy.received_commands: <TAB>  <TAB> assert not isinstance(cmd.gate, R) <MASK> rz_count += 1 <TAB>  <TAB>  <TAB> assert cmd.gate == Rz(1.2) <TAB> assert rz_count == 1,""if isinstance ( cmd . gate , Rz ) :"",188",FALSE,"if', ' isinstance', ' (', ' cmd', ' .', ' gate', ' ,', ' R', 'z', ' )', ' :',","if', ' cmd', ' (', ' cmd', ' .', ' gate', ' ,', ' R', 'z', ' )', ' :',",0,0
"def _kill_current_player(self): <TAB> if self._current_player: <MASK> self.voice_client.resume() <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> self.voice_client.stop() <TAB>  <TAB> except OSError: <TAB>  <TAB>  <TAB> pass <TAB>  <TAB> self._current_player = None <TAB>  <TAB> return True <TAB> return False,if self . voice_client . is_paused ( ) :,93",FALSE,"if', ' self', ' .', ' voice', '_', 'client', ' .', ' is', '_', 'pa', 'used', ' (', ' )', ' :',","if', ' self', ' .', ' voice', '_', 'client', ' :', ' is', '_', 'active', 'used', ' (', ' )', ' :',",0,0
"def hasAmbiguousLanguage(self, p): <TAB> """"""Return True if p.b contains different @language directives."""""" <TAB> # c = self <TAB> languages, tag = set(), ""@language"" <TAB> for s in g.splitLines(p.b): <MASK> i = g.skip_ws(s, len(tag)) <TAB>  <TAB>  <TAB> j = g.skip_id(s, i) <TAB>  <TAB>  <TAB> word = s[i:j] <TAB>  <TAB>  <TAB> languages.add(word) <TAB> return len(list(languages)) > 1,""if g . match_word ( s , 0 , tag ) :"",140",FALSE,"if', ' g', ' .', ' match', '_', 'word', ' (', ' s', ' ,', ' 0', ' ,', ' tag', ' )', ' :',","if', ' s', ' .', ' skip', '_', 'tag', ' (', ' s', ' ,', ' ""@', ' )', ' len', ' )', ' :',",0,0
"def terminate(self): <TAB> n_retries = 10 <TAB> for i in range(n_retries): <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> super(MemmappingPool, self).terminate() <TAB>  <TAB>  <TAB> break <TAB>  <TAB> except OSError as e: <TAB>  <TAB>  <TAB> if isinstance(e, WindowsError): <TAB>  <TAB>  <TAB>  <TAB> # Workaround  occasional ""[Error 5] Access is denied"" issue <TAB>  <TAB>  <TAB>  <TAB> # when trying to terminate a process under windows. <TAB>  <TAB>  <TAB>  <TAB> sleep(0.1) <MASK> warnings.warn( <TAB>  <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ""Failed to terminate worker processes in"" <TAB>  <TAB>  <TAB>  <TAB>  <TAB>  <TAB> "" multiprocessing pool: %r"" % e <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ) <TAB> self._temp_folder_manager._unlink_temporary_resources(),if i + 1 == n_retries :,192",FALSE,"if', ' i', ' +', ' 1', ' ==', ' n', '_', 'retries', ' :',","if', ' e', ' %', ' 1', ' >=', ' n', '_', 'retries', ' :',",0,0
"def test_downsampling(self, method, maybe_range, fraction, expected_n_reads): <TAB> reader = sam.SamReader( <TAB>  <TAB> test_utils.genomics_core_testdata(""test.bam""), <TAB>  <TAB> downsample_fraction=fraction, <TAB>  <TAB> random_seed=12345, <TAB> ) <TAB> with reader: <MASK> reads_iter = reader.iterate() <TAB>  <TAB> elif method == ""query"": <TAB>  <TAB>  <TAB> reads_iter = reader.query(ranges.parse_literal(maybe_range)) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> self.fail(""Unexpected method "" + str(method)) <TAB>  <TAB> self.assertEqual(test_utils.iterable_len(reads_iter), expected_n_reads),""if method == """"iterate"""" :"",177",TRUE,"if', ' method', ' ==', ' ""', 'iterate', '""', ' :',","if', ' method', ' ==', ' ""', 'iterate', '""', ' :',",0,0
"def verify_acceptable(self): <TAB> start = time.time() <TAB> while True: <MASK> return <TAB>  <TAB> elif (time.time() - start) > READ_TIMEOUT: <TAB>  <TAB>  <TAB> raise Exception(""Server socket did not accept in time"") <TAB>  <TAB> time.sleep(0.1),if self . select_acceptable ( ) :,79",FALSE,"if', ' self', ' .', ' select', '_', 'accept', 'able', ' (', ' )', ' :',","if', ' self', ' .', ' _', '_', 'accept', ' (', ' (', ' )', ' :',",0,0
"def replica_local_creator(next_creator, **kwargs) -> tf.Variable: <TAB> """"""Variable creator that by default creates replica local variables."""""" <TAB> if kwargs[""synchronization""] == tf.VariableSynchronization.AUTO: <TAB>  <TAB> kwargs[""synchronization""] = tf.VariableSynchronization.ON_READ <MASK> kwargs[""aggregation""] = tf.VariableAggregation.ONLY_FIRST_REPLICA <TAB>  <TAB> if kwargs[""trainable""] is None: <TAB>  <TAB>  <TAB> kwargs[""trainable""] = True <TAB> return next_creator(**kwargs),""if kwargs [ """"aggregation"""" ] == tf . VariableAggregation . NONE :"",144",FALSE,"if', ' kwargs', ' [', ' ""', 'aggregation', '""', ' ]', ' ==', ' tf', ' .', ' Variable', 'Aggregation', ' .', ' NONE', ' :',","if', ' kwargs', ' [', ' ""', 'aggregation', '""', ' ]', ' is', ' tf', ' .', ' Variable', 'Aggregation', ' .', ' ALL', ' :',",0,0
"def get_optional_nargs(self, name): <TAB> for n, kwargs in self.conf[""optional_args""]: <TAB>  <TAB> if name == n: <MASK> action = kwargs[""action""] <TAB>  <TAB>  <TAB>  <TAB> if action in (""store_true"", ""store_false""): <TAB>  <TAB>  <TAB>  <TAB>  <TAB> return 0 <TAB>  <TAB>  <TAB> break <TAB> return 1,""if """"action"""" in kwargs :"",92",FALSE,"if', ' ""', 'action', '""', ' in', ' kwargs', ' :', 'el',","if', ' ""', 'action', '""', ' in', ' kwargs', ' :',",0,0
"def ageToDays(self, age_str): <TAB> age = 0 <TAB> age_str = age_str.replace(""&nbsp;"", "" "") <TAB> regex = ""(\d*.?\d+).(sec|hour|day|week|month|year)+"" <TAB> matches = re.findall(regex, age_str) <TAB> for match in matches: <TAB>  <TAB> nr, size = match <TAB>  <TAB> mult = 1 <TAB>  <TAB> if size == ""week"": <TAB>  <TAB>  <TAB> mult = 7 <TAB>  <TAB> elif size == ""month"": <TAB>  <TAB>  <TAB> mult = 30.5 <MASK> mult = 365 <TAB>  <TAB> age += tryInt(nr) * mult <TAB> return tryInt(age),""elif size == """"year"""" :"",163",FALSE,"if', ' size', ' ==', ' ""', 'year', '""', ' :',","if', ' size', ' ==', ' ""', 'day', '""', ' :',",0,0
"def put(self, userId, bucket, key, data): <TAB> if not self.initialized: <TAB>  <TAB> raise Exception(""archive not initialized"") <TAB> try: <TAB>  <TAB> uri = self.uri_for(userId, bucket, key) <MASK> raise Exception(""Failed writing file content to disk: {}"".format(uri)) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return uri <TAB> except Exception as err: <TAB>  <TAB> logger.debug(""cannot put data: exception - "" + str(err)) <TAB>  <TAB> raise err,""if not self . _save_content ( uri , data ) :"",131",FALSE,"if', ' not', ' self', ' .', ' _', 'save', '_', 'content', ' (', ' uri', ' ,', ' data', ' )', ' :', 'el', 'if', ' min', ' >', ' 0', ' :',","if', ' not', ' uri', ' .', ' _', 'put', ' (', 'file', ' (', ' uri', ' ,', ' data', ' )', ' :',",0,0
