cleaned_method,target_block,tokens_in_method
"def order_authors(self, entry): <TAB> sort_authors = entry.author_sort.split(""&"") <TAB> authors_ordered = list() <TAB> error = False <TAB> ids = [a.id for a in entry.authors] <TAB> for auth in sort_authors: <TAB>  <TAB> results = ( <TAB>  <TAB>  <TAB> self.session.query(Authors) <TAB>  <TAB>  <TAB> .filter(Authors.sort == auth.lstrip().strip()) <TAB>  <TAB>  <TAB> .all() <TAB>  <TAB> ) <TAB>  <TAB> # ToDo: How to handle not found authorname <TAB>  <TAB> if not len(results): <TAB>  <TAB>  <TAB> error = True <TAB>  <TAB>  <TAB> break <TAB>  <TAB> for r in results: <MASK> authors_ordered.append(r) <TAB> if not error: <TAB>  <TAB> entry.authors = authors_ordered <TAB> return entry",if r . id in ids :,195
"def describe_images(self, Filters=None, Owners=None): <TAB> images = [] <TAB> for image in self.mock_ec2_images: <TAB>  <TAB> if not (Owners is None or image.get(""ImageOwnerAlias"") in Owners): <TAB>  <TAB>  <TAB> continue <MASK> continue <TAB>  <TAB> images.append(deepcopy(image)) <TAB> return dict(Images=images)","if Filters and not _matches_image_filters ( image , Filters ) :",107
"def prefetch_related(self, *args): <TAB> try: <TAB>  <TAB> for arg in args: <TAB>  <TAB>  <TAB> if isinstance(arg, str): <TAB>  <TAB>  <TAB>  <TAB> arg = FastPrefetch.make_from_field(model=self.model, field_name=arg) <TAB>  <TAB>  <TAB> elif isinstance(arg, Prefetch): <TAB>  <TAB>  <TAB>  <TAB> arg = FastPrefetch.make_from_prefetch(arg, self.model) <MASK> raise Exception(""Must be FastPrefetch object"") <TAB>  <TAB>  <TAB> if arg.field in self.prefetches: <TAB>  <TAB>  <TAB>  <TAB> raise Exception(""Prefetch for field '%s' already exists."") <TAB>  <TAB>  <TAB> self.prefetches[arg.field] = arg <TAB> except Exception as e:  # noqa <TAB>  <TAB> traceback.print_exc() <TAB> return self","if not isinstance ( arg , FastPrefetch ) :",196
"def niap_scan(rule, extensions, paths, apath, ignore_paths=None): <TAB> """"""NIAP scan."""""" <TAB> try: <TAB>  <TAB> if not apath: <TAB>  <TAB>  <TAB> apath = """" <TAB>  <TAB> options = { <TAB>  <TAB>  <TAB> ""choice_rules"": rule, <TAB>  <TAB>  <TAB> ""alternative_path"": apath, <TAB>  <TAB>  <TAB> ""choice_extensions"": extensions, <TAB>  <TAB>  <TAB> ""ignore_paths"": ignore_paths, <TAB>  <TAB>  <TAB> ""show_progress"": False, <TAB>  <TAB> } <TAB>  <TAB> scanner = Scanner(options, paths) <TAB>  <TAB> res = scanner.scan() <MASK> return res[""choice_matcher""] <TAB> except Exception: <TAB>  <TAB> logger.exception(""NIAP scan"") <TAB> return {}",if res :,176
"def secret_generator(self, string, *args, **kwargs): <TAB> # There may be multiple strings on the same line <TAB> results = self.regex.findall(string) <TAB> for result in results: <TAB>  <TAB> # To accommodate changing self.regex, due to different filetypes <MASK> result = result[1] <TAB>  <TAB> entropy_value = self.calculate_shannon_entropy(result) <TAB>  <TAB> if entropy_value > self.entropy_limit: <TAB>  <TAB>  <TAB> yield result","if isinstance ( result , tuple ) :",121
"def encode(obj, encoding=""utf-8"", errors=""strict""): <TAB> encoder = __encoder(encoding) <TAB> if encoder: <TAB>  <TAB> result = encoder(obj, errors) <MASK> raise TypeError(""encoder must return a tuple (object, integer)"") <TAB>  <TAB> return result[0]","if not ( isinstance ( result , tuple ) and len ( result ) == 2 ) :",86
"def greetings(request): <TAB> if request.method == ""POST"": <TAB>  <TAB> form = HelloForm(request.POST) <MASK> first_name = form.cleaned_data[""fname""] <TAB>  <TAB>  <TAB> last_name = form.cleaned_data[""lname""] <TAB>  <TAB>  <TAB> return HttpResponse(""Hello, {} {}"".format(first_name, last_name)) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return render(request, ""home.html"") <TAB> return render(request, ""home.html"")",if form . is_valid ( ) :,125
def logic(): <TAB> while 1: <TAB>  <TAB> yield a <TAB>  <TAB> var = 0 <TAB>  <TAB> i = len(a) - 1 <TAB>  <TAB> while i >= 0: <MASK> var += 1 <TAB>  <TAB>  <TAB> i -= 1 <TAB>  <TAB> out.next = var,if a [ i ] == 1 :,74
"def reconfigure(self, user_config) -> None: <TAB> if user_config: <MASK> raise ValueError( <TAB>  <TAB>  <TAB>  <TAB> ""argument func_or_class must be a class to use user_config"" <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> elif not hasattr(self.callable, BACKEND_RECONFIGURE_METHOD): <TAB>  <TAB>  <TAB> raise RayServeException( <TAB>  <TAB>  <TAB>  <TAB> ""user_config specified but backend "" <TAB>  <TAB>  <TAB>  <TAB> + self.backend_tag <TAB>  <TAB>  <TAB>  <TAB> + "" missing "" <TAB>  <TAB>  <TAB>  <TAB> + BACKEND_RECONFIGURE_METHOD <TAB>  <TAB>  <TAB>  <TAB> + "" method"" <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> reconfigure_method = getattr(self.callable, BACKEND_RECONFIGURE_METHOD) <TAB>  <TAB> reconfigure_method(user_config)",if self . is_function :,190
"def convert_charged_to_paritally_charged_and_partially_refunded(apps, schema_editor): <TAB> PaymentModel = apps.get_model(""payment"", ""Payment"") <TAB> for payment in PaymentModel.objects.all(): <MASK> if is_fully_charged(payment): <TAB>  <TAB>  <TAB>  <TAB> payment.charge_status = ChargeStatus.FULLY_CHARGED <TAB>  <TAB>  <TAB> elif ( <TAB>  <TAB>  <TAB>  <TAB> payment.transactions.filter( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> kind=TransactionKind.REFUND, is_success=True <TAB>  <TAB>  <TAB>  <TAB> ).first() <TAB>  <TAB>  <TAB>  <TAB> is not None <TAB>  <TAB>  <TAB> ): <TAB>  <TAB>  <TAB>  <TAB> payment.charge_status = ChargeStatus.PARTIALLY_REFUNDED <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> payment.charge_status = ChargeStatus.PARTIALLY_CHARGED <TAB>  <TAB>  <TAB> payment.save()",if payment . charge_status == CHARGED :,196
"def _connect_loop(self, retry): <TAB> # Iterate through the hosts a full cycle before starting over <TAB> status = None <TAB> for host, port in self.client.hosts: <MASK> status = STOP_CONNECTING <TAB>  <TAB>  <TAB> break <TAB>  <TAB> status = self._connect_attempt(host, port, retry) <TAB>  <TAB> if status is STOP_CONNECTING: <TAB>  <TAB>  <TAB> break <TAB> if status is STOP_CONNECTING: <TAB>  <TAB> return STOP_CONNECTING <TAB> else: <TAB>  <TAB> raise ForceRetryError(""Reconnecting"")",if self . client . _stopped . is_set ( ) :,133
"def Query(host, port, req): <TAB> sock = socket.socket(socket.AF_INET, socket.SOCK_STREAM) <TAB> resp = b"""" <TAB> try: <TAB>  <TAB> sock.connect((host, int(port))) <TAB>  <TAB> sock.sendall(req) <TAB>  <TAB> while True: <TAB>  <TAB>  <TAB> data = sock.recv(8096) <MASK> return resp <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> resp += data <TAB> except socket.error: <TAB>  <TAB> return resp <TAB> finally: <TAB>  <TAB> sock.close()",if not data :,133
"def execute(self, arbiter, props): <TAB> if ""name"" in props: <TAB>  <TAB> watcher = self._get_watcher(arbiter, props[""name""]) <MASK> resp = TransformableFuture() <TAB>  <TAB>  <TAB> resp.set_upstream_future(watcher.start()) <TAB>  <TAB>  <TAB> resp.set_transform_function(lambda x: {""info"": x}) <TAB>  <TAB>  <TAB> return resp <TAB>  <TAB> return watcher.start() <TAB> else: <TAB>  <TAB> return arbiter.start_watchers()","if props . get ( ""waiting"" ) :",128
"def _select_algs(alg_type, algs, possible_algs, none_value=None): <TAB> """"""Select a set of allowed algorithms"""""" <TAB> if algs == (): <TAB>  <TAB> return possible_algs <TAB> elif algs: <TAB>  <TAB> result = [] <TAB>  <TAB> for alg_str in algs: <TAB>  <TAB>  <TAB> alg = alg_str.encode(""ascii"") <MASK> raise ValueError(""%s is not a valid %s algorithm"" % (alg_str, alg_type)) <TAB>  <TAB>  <TAB> result.append(alg) <TAB>  <TAB> return result <TAB> elif none_value: <TAB>  <TAB> return [none_value] <TAB> else: <TAB>  <TAB> raise ValueError(""No %s algorithms selected"" % alg_type)",if alg not in possible_algs :,180
"def fetch(self, mutagen_file): <TAB> for frame in mutagen_file.tags.getall(self.key): <MASK> if self.key == ""USLT"": <TAB>  <TAB>  <TAB>  <TAB> return frame.text <TAB>  <TAB>  <TAB> try: <TAB>  <TAB>  <TAB>  <TAB> return frame.text[0] <TAB>  <TAB>  <TAB> except IndexError: <TAB>  <TAB>  <TAB>  <TAB> return None",if frame . desc . lower ( ) == self . description . lower ( ) :,98
"def setup_widgets(self): <TAB> Editor.setup_widgets(self) <TAB> # Get app version <TAB> app_ver = ""(unknown version)"" <TAB> try: <TAB>  <TAB> import pkg_resources, scc <MASK> app_ver = ""v"" + pkg_resources.require(""sccontroller"")[0].version <TAB> except: <TAB>  <TAB> # pkg_resources is not available or __version__ file missing <TAB>  <TAB> # There is no reason to crash on this. <TAB>  <TAB> pass <TAB> # Display version in UI <TAB> self.builder.get_object(""lblVersion"").set_label(app_ver)","if scc . __file__ . startswith ( pkg_resources . require ( ""sccontroller"" ) [ 0 ] . location ) :",160
"def clean_email(self): <TAB> email = self.cleaned_data.get(""email"") <TAB> if email: <TAB>  <TAB> if self.user.email != email: <TAB>  <TAB>  <TAB> unique = User.objects.filter(email__iexact=email).count() <MASK> raise forms.ValidationError( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> u""An user with this email address already exists."" <TAB>  <TAB>  <TAB>  <TAB> ) <TAB> return email",if unique > 0 :,105
"def forwards(self, orm): <TAB> from sentry.constants import RESERVED_TEAM_SLUGS <TAB> from sentry.models import slugify_instance <TAB> try: <TAB>  <TAB> superuser = orm[""sentry.User""].objects.filter(is_superuser=True)[0] <TAB> except IndexError: <TAB>  <TAB> return <TAB> for project in orm[""sentry.Project""].objects.filter(team__isnull=True): <MASK> project.owner = superuser <TAB>  <TAB> project.team = orm[""sentry.Team""]( <TAB>  <TAB>  <TAB> name=project.name, <TAB>  <TAB>  <TAB> owner=project.owner, <TAB>  <TAB> ) <TAB>  <TAB> slugify_instance(project.team, project.team.name, reserved=RESERVED_TEAM_SLUGS) <TAB>  <TAB> project.team.save() <TAB>  <TAB> project.save()",if not project . owner :,196
"def list_cb(cards): <TAB> for c in cards.values(): <MASK> self.devices[device[""Address""]] = c <TAB>  <TAB>  <TAB> self.generate_menu(device) <TAB>  <TAB>  <TAB> return","if c [ ""proplist"" ] [ ""device.string"" ] == device [ ""Address"" ] :",66
"def _extract_tags_from_span(attr): <TAB> if attr is None: <TAB>  <TAB> return {} <TAB> tags = {} <TAB> for attribute_key, attribute_value in attr.items(): <MASK> value = str(attribute_value) <TAB>  <TAB> elif isinstance(attribute_value, str): <TAB>  <TAB>  <TAB> res, _ = check_str_length(str_to_check=attribute_value) <TAB>  <TAB>  <TAB> value = res <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> logging.warning(""Could not serialize tag %s"", attribute_key) <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> tags[attribute_key] = value <TAB> return tags","if isinstance ( attribute_value , ( int , bool , float ) ) :",161
"def visit(z, dirname, names): <TAB> for name in names: <TAB>  <TAB> path = os.path.normpath(os.path.join(dirname, name)) <MASK> p = path[len(base_dir) + 1 :] <TAB>  <TAB>  <TAB> if not dry_run: <TAB>  <TAB>  <TAB>  <TAB> z.write(path, p) <TAB>  <TAB>  <TAB> log.debug(""adding '%s'"" % p)",if os . path . isfile ( path ) :,105
"def validate(self): <TAB> if ""lb_method"" in self.resource: <TAB>  <TAB> lb_method = self.resource[""lb_method""] <MASK> raise ValueError( <TAB>  <TAB>  <TAB>  <TAB> ""The lb_method attribute must be "" <TAB>  <TAB>  <TAB>  <TAB> ""either ROUND_ROBIN, LEAST_CONNECTIONS "" <TAB>  <TAB>  <TAB>  <TAB> ""or SOURCE_IP"" <TAB>  <TAB>  <TAB> ) <TAB> if ""protocol"" in self.resource: <TAB>  <TAB> protocol = self.resource[""protocol""] <TAB>  <TAB> if protocol not in [""TCP"", ""HTTP"", ""HTTPS""]: <TAB>  <TAB>  <TAB> raise ValueError(""The type attribute must be "" ""either TCP, HTTP or HTTPS"") <TAB> return True","if lb_method not in [ ""ROUND_ROBIN"" , ""LEAST_CONNECTIONS"" , ""SOURCE_IP"" ] :",181
"def compute_adjlist(self, sp_adj, max_degree=32): <TAB> """"""Transfer sparse adjacent matrix to adj-list format"""""" <TAB> num_data = sp_adj.shape[0] <TAB> adj = num_data + np.zeros((num_data + 1, max_degree), dtype=np.int32) <TAB> for v in range(num_data): <TAB>  <TAB> neighbors = np.nonzero(sp_adj[v, :])[1] <TAB>  <TAB> len_neighbors = len(neighbors) <MASK> neighbors = np.random.choice(neighbors, max_degree, replace=False) <TAB>  <TAB>  <TAB> adj[v] = neighbors <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> adj[v, :len_neighbors] = neighbors <TAB> return adj",if len_neighbors > max_degree :,184
"def _fix_paused_jobs_sorting(self, jobs): <TAB> for i, job in enumerate(jobs): <TAB>  <TAB> if job.next_run_time is not None: <MASK> paused_jobs = jobs[:i] <TAB>  <TAB>  <TAB>  <TAB> del jobs[:i] <TAB>  <TAB>  <TAB>  <TAB> jobs.extend(paused_jobs) <TAB>  <TAB>  <TAB> break",if i > 0 :,91
"def random_init(self): <TAB> self.conv1.weight.data.normal_(0, math.sqrt(2.0 / (7 * 7 * 64))) <TAB> for m in self.modules(): <TAB>  <TAB> if isinstance(m, nn.Conv2d): <TAB>  <TAB>  <TAB> n = m.kernel_size[0] * m.kernel_size[1] * m.out_channels <TAB>  <TAB>  <TAB> m.weight.data.normal_(0, math.sqrt(2.0 / n)) <TAB>  <TAB> elif isinstance(m, nn.BatchNorm2d): <TAB>  <TAB>  <TAB> m.weight.data.fill_(1) <TAB>  <TAB>  <TAB> m.bias.data.zero_() <MASK> m.weight.data.fill_(1) <TAB>  <TAB>  <TAB> m.bias.data.zero_()","elif isinstance ( m , nn . InstanceNorm2d ) :",195
"def parseUrlEncoded(self, cad): <TAB> dicc = [] <TAB> if cad == """": <TAB>  <TAB> dicc.append(Variable("""", None)) <TAB> for i in cad.split(""&""): <MASK> var_list = i.split(""="", 1) <TAB>  <TAB>  <TAB> if len(var_list) == 1: <TAB>  <TAB>  <TAB>  <TAB> dicc.append(Variable(var_list[0], None)) <TAB>  <TAB>  <TAB> elif len(var_list) == 2: <TAB>  <TAB>  <TAB>  <TAB> dicc.append(Variable(var_list[0], var_list[1])) <TAB> self.variables = dicc",if i :,147
"def get_environment_with_overrides(overrides): <TAB> env = os.environ.copy() <TAB> for key in overrides: <MASK> del env[key] <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> assert isinstance(overrides[key], str) <TAB>  <TAB>  <TAB> if key.upper() == ""PATH"": <TAB>  <TAB>  <TAB>  <TAB> update_system_path(env, overrides[key]) <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> env[key] = overrides[key] <TAB> return env",if overrides [ key ] is None and key in env :,125
"def create_tuple_column(spec, column_by_spec_getter): <TAB> brackets = 0 <TAB> column_begin = 0 <TAB> inner_spec = get_inner_spec(spec) <TAB> nested_columns = [] <TAB> for i, x in enumerate(inner_spec + "",""): <TAB>  <TAB> if x == "","": <MASK> nested_columns.append(inner_spec[column_begin:i]) <TAB>  <TAB>  <TAB>  <TAB> column_begin = i + 1 <TAB>  <TAB> elif x == ""("": <TAB>  <TAB>  <TAB> brackets += 1 <TAB>  <TAB> elif x == "")"": <TAB>  <TAB>  <TAB> brackets -= 1 <TAB>  <TAB> elif x == "" "": <TAB>  <TAB>  <TAB> if brackets == 0: <TAB>  <TAB>  <TAB>  <TAB> column_begin = i + 1 <TAB> return TupleColumn([column_by_spec_getter(x) for x in nested_columns])",if brackets == 0 :,195
"def _send_launch_message(self, app_id, force_launch=False, callback_function=False): <TAB> if force_launch or self.app_id != app_id: <TAB>  <TAB> self.logger.info(""Receiver:Launching app %s"", app_id) <TAB>  <TAB> self.app_to_launch = app_id <TAB>  <TAB> self.app_launch_event.clear() <TAB>  <TAB> self.app_launch_event_function = callback_function <TAB>  <TAB> self.launch_failure = None <TAB>  <TAB> self.send_message({MESSAGE_TYPE: TYPE_LAUNCH, APP_ID: app_id}) <TAB> else: <TAB>  <TAB> self.logger.info(""Not launching app %s - already running"", app_id) <MASK> callback_function()",if callback_function :,189
"def _needs_init(self, code, name): <TAB> if code in self.init_params: <MASK> _log.warning( <TAB>  <TAB>  <TAB>  <TAB> ""Even though the %r attribute is set, it will be "" <TAB>  <TAB>  <TAB>  <TAB> ""overwritten during initialization because 'init_params' "" <TAB>  <TAB>  <TAB>  <TAB> ""contains %r"", <TAB>  <TAB>  <TAB>  <TAB> name, <TAB>  <TAB>  <TAB>  <TAB> code, <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> return True <TAB> if not hasattr(self, name): <TAB>  <TAB> return True <TAB> return False","if hasattr ( self , name ) :",132
"def extra_backend_context(self): <TAB> """"""Specific metadata to be included when passed to backends."""""" <TAB> context = {} <TAB> if self.in_response_to: <TAB>  <TAB> original = self.in_response_to <TAB>  <TAB> context[""in_response_to""] = original.id <MASK> context[""external_id""] = original.fields[""external_id""] <TAB> return context","if ""external_id"" in original . fields :",103
"def OnReplaceAll(self, id, code): <TAB> control = _GetControl(None) <TAB> if control is not None: <TAB>  <TAB> control.SetSel(0) <TAB>  <TAB> num = 0 <MASK> lastSearch.replaceText = self.editReplaceText.GetWindowText() <TAB>  <TAB>  <TAB> while _ReplaceIt(control) == FOUND_NORMAL: <TAB>  <TAB>  <TAB>  <TAB> num = num + 1 <TAB>  <TAB> win32ui.SetStatusText(""Replaced %d occurrences"" % num) <TAB>  <TAB> if num > 0 and not self.butKeepDialogOpen.GetCheck(): <TAB>  <TAB>  <TAB> self.DestroyWindow()",if self . DoFindNext ( ) == FOUND_NORMAL :,157
"def dict(x): <TAB> a = [""(""] <TAB> b = None <TAB> ks = sorted(x.keys()) <TAB> for i in ks: <TAB>  <TAB> v = x[i] <TAB>  <TAB> f = Encoder.encoder(v) <TAB>  <TAB> if f: <TAB>  <TAB>  <TAB> v = f(v) <TAB>  <TAB>  <TAB> if isinstance(v, (str, basestring)): <MASK> a.append("","") <TAB>  <TAB>  <TAB>  <TAB> a.append(Encoder.string(i)) <TAB>  <TAB>  <TAB>  <TAB> a.append("":"") <TAB>  <TAB>  <TAB>  <TAB> a.append(v) <TAB>  <TAB>  <TAB>  <TAB> b = True <TAB> a.append("")"") <TAB> return """".join(a)",if b :,159
"def _load_repositories(self, structure): <TAB> """"""Load other image repositories into this local repo"""""" <TAB> if ""repositories"" not in structure: <TAB>  <TAB> return False <TAB> loaded_repositories = [] <TAB> for imagerepo in structure[""repositories""]: <TAB>  <TAB> for tag in structure[""repositories""][imagerepo]: <TAB>  <TAB>  <TAB> if imagerepo and tag: <TAB>  <TAB>  <TAB>  <TAB> loaded_repo = self._load_image(structure, imagerepo, tag) <MASK> loaded_repositories.extend(loaded_repo) <TAB> return loaded_repositories",if loaded_repo :,141
"def is_valid_relation(self, parent, sub, created=False): <TAB> if sub.is_isolated(): <TAB>  <TAB> return { <TAB>  <TAB>  <TAB> ""error"": _( <TAB>  <TAB>  <TAB>  <TAB> ""Isolated instances may not be added or removed from instances groups via the API."" <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> } <TAB> if self.parent_model is InstanceGroup: <TAB>  <TAB> ig_obj = self.get_parent_object() <MASK> return { <TAB>  <TAB>  <TAB>  <TAB> ""error"": _( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ""Isolated instance group membership may not be managed via the API."" <TAB>  <TAB>  <TAB>  <TAB> ) <TAB>  <TAB>  <TAB> } <TAB> return None",if ig_obj . controller_id is not None :,163
"def durationActual(self, dA): <TAB> self._checkFrozen() <TAB> if isinstance(dA, DurationTuple): <TAB>  <TAB> self._durationActual = dA <TAB> elif isinstance(dA, Duration): <MASK> dA = copy.deepcopy(dA) <TAB>  <TAB>  <TAB> dA.consolidate() <TAB>  <TAB> self._durationActual = DurationTuple(dA.type, dA.dots, dA.quarterLength) <TAB> elif isinstance(dA, str): <TAB>  <TAB> self._durationActual = durationTupleFromTypeDots(dA, dots=0)",if len ( dA . components ) > 1 :,149
"def get_encoding(klass, name, diff=None): <TAB> cid2unicode = klass.encodings.get(name, klass.std2unicode) <TAB> if diff: <TAB>  <TAB> cid2unicode = cid2unicode.copy() <TAB>  <TAB> cid = 0 <TAB>  <TAB> for x in diff: <MASK> cid = x <TAB>  <TAB>  <TAB> elif isinstance(x, PSLiteral): <TAB>  <TAB>  <TAB>  <TAB> try: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> cid2unicode[cid] = name2unicode(x.name) <TAB>  <TAB>  <TAB>  <TAB> except KeyError: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> pass <TAB>  <TAB>  <TAB>  <TAB> cid += 1 <TAB> return cid2unicode","if isinstance ( x , int ) :",154
"def __getitem__(self, name): <TAB> if name in Quality.DOWNLOADED + Quality.SNATCHED + Quality.SNATCHED_PROPER: <TAB>  <TAB> status, quality = Quality.splitCompositeStatus(name) <MASK> return self.statusStrings[status] <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return ( <TAB>  <TAB>  <TAB>  <TAB> self.statusStrings[status] <TAB>  <TAB>  <TAB>  <TAB> + "" ("" <TAB>  <TAB>  <TAB>  <TAB> + Quality.qualityStrings[quality] <TAB>  <TAB>  <TAB>  <TAB> + "")"" <TAB>  <TAB>  <TAB> ) <TAB> else: <TAB>  <TAB> return self.statusStrings[name]",if quality == Quality . NONE :,155
